"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"1000194459","RES","CLS","530 Alfred St S","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","09/26/17","$635,000","$634,900.00","$24.00","NINE HOMEOWNERS","0.03","0","0","0","","No Pool","$503.97","1.00016","0.97707","McEnearney Associates, Inc.","1,260","1984","22314","","38","$649,900","1,260","26","Jordan D Stuart","Sue S Goodhart","Compass (COMPS1)"
"1000156269","RES","CLS","204 Franklin St","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","09/26/17","$890,000","$915,000.00","","","0.02","0","0","1","","No Pool","$523.53","0.97268","0.91282","KW Metro Center","1,700","1860","22314","","162","$975,000","1,700","107","Diann S Hicks Carlson","Christina A Wood","Weichert, REALTORS (WEI58)"
"1000194389","RES","CLS","1335 Powhatan St","Alexandria","Alexandria City, VA","3","3/2","Interior Row/Townhouse","09/26/17","$899,990","$899,990.00","","POWHATAN TOWNHOME CONDOMINIUM","","0","0","1","","No Pool","$473.68","1.00000","0.92715","CENTURY 21 New Millennium","1,900","2017","22314","","5","$970,704","1,900","71","Frank J Gstrein","Tammy E Hoogstad","Comstock Homes, Inc. (CST1)"
"1000156355","RES","CLS","706 Fitzhugh Way","Alexandria","Alexandria City, VA","3","2/2","Interior Row/Townhouse","09/26/17","$885,000","$885,000.00","$150.00","OLD TOWN GREENS","0.04","0","0","1","","Yes - Community, Yes - Personal","$354.00","1.00000","1.00000","Keller Williams Capital Properties","2,918","1998","22314","OLD TOWN GREENS","24","$885,000","2,500","7","Diann S Hicks Carlson","David Treanor","Weichert, REALTORS (WEI58)"
"1000194431","RES","CLS","814 Snowden Hallowell Way","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","09/27/17","$825,000","$848,500.00","$105.00","","0.02","0","0","1","","No Pool","$476.33","0.97230","0.97230","RE/MAX Allegiance","2,309","2012","22314","","10","$848,500","1,732","72","Tim Barley","Robert T Ferguson Jr.","RE/MAX Allegiance (RMAX20)"
"1000194445","RES","CLS","426 Fayette St","Alexandria","Alexandria City, VA","3","3/0","Interior Row/Townhouse","09/27/17","$942,500","$949,900.00","","","0.06","0","1","0","","No Pool","$367.30","0.99221","0.91960","Century 21 Redwood Realty","2,566","1921","22314","","101","$1,024,900","2,566","139","Kelli Shobe","Gary Hughes","Samson Properties (SAMP4)"
"1000156315","RES","CLS","523 Bashford Ln #2","Alexandria","Alexandria City, VA","2","1/0","Unit/Flat/Apartment","09/28/17","$358,000","$365,000.00","$0.00","HARBOR TERRACE","","2","1","0","","No Pool","$397.78","0.98082","0.98082","Long & Foster Real Estate, Inc.","900","1944","22314","HARBOR TERRACE","78","$365,000","900","17","Susan S Mekenney","Valerie C Klotz","RE/MAX Executives (RMAX201)"
"1000194547","RES","CLS","409 Royal St","Alexandria","Alexandria City, VA","2","1/1","","09/28/17","$688,000","$678,000.00","","","0.06","0","0","0","","No Pool","$693.55","1.01475","1.01475","Seaport Properties LLC","1,488","1952","22314","","70","$678,000","992","25","Herbert Riggs","Cheryl Monno","RE/MAX 100 (RMAX1002)"
"1000194393","RES","CLS","2050 Jamieson Ave #1306","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","09/29/17","$480,000","$490,000.00","","THE JAMIESON","","2","2","0","","No Pool","$450.70","0.97959","0.97959","McEnearney Associates, Inc.","1,065","2008","22314","THE JAMIESON","14","$490,000","1,065","15","Christine M Fischer","Holly Beville","McEnearney Associates, Inc. (MCE1)"
"1000156429","RES","CLS","1041 Pitt St N","Alexandria","Alexandria City, VA","3","3/0","End of Row/Townhouse","09/29/17","$650,000","$650,000.00","","WATERGATE OF ALE","","1","1","0","","No Pool","$393.70","1.00000","1.00000","TTR Sotheby's International Realty","1,651","1977","22314","WATERGATE OF ALEXANDRIA","45","$650,000","1,651","3","Christie Abramovic","Phyllis G Patterson","TTR Sotheby's International Realty (TTRS6)"
