,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
212912,2021-07-01,2021-09-30,90,zip code,2,8948,f,Zip Code: 22630,,Virginia,VA,Single Family Residential,6,340000.0,0.0,0.23636363636363636,324900.0,-0.015156107911488359,0.16056645930783953,178.5714285714286,0.017219387755102122,0.18846184836032576,184.25124832289032,0.016007890300276054,0.18389460845520197,165.0,-0.15816326530612246,-0.20289855072463767,35.0,-0.4354838709677418,-0.4262295081967213,183.0,-0.041884816753926746,-0.0054347826086956754,112.0,0.1914893617021276,-0.08196721311475408,,,,36.0,0.0,-7.5,1.0154478609371984,0.0004348193831005265,0.01827845536165373,0.4787878787878788,-0.02121212121212124,0.09231444883618793,,,,0.37142857142857133,0.12949308755760366,0.010772833723653395,"Washington, DC",47894,2022-01-09 14:29:56
230150,2021-07-01,2021-09-30,90,zip code,2,7829,f,Zip Code: 20106,,Virginia,VA,Single Family Residential,6,549900.0,0.07823529411764696,0.2260869565217392,539000.0,-0.020000000000000014,0.0945273631840795,203.95799676898224,-0.03396343212597941,0.3304337020007457,211.22848200312993,0.002455295638539967,0.13809010204309713,23.0,-0.07999999999999996,-0.07999999999999996,6.0,1.0,-0.25,29.0,0.3181818181818181,0.03571428571428581,25.0,0.3157894736842107,0.4705882352941178,,,,43.0,7.0,-6.5,1.0147936755787352,0.002068358210820076,0.021339132668245053,0.6521739130434783,0.052173913043478286,0.2921739130434783,,,,0.3333333333333333,0.3333333333333333,0.2083333333333333,"Washington, DC",47894,2022-01-09 14:29:56
236823,2021-07-01,2021-09-30,90,zip code,2,9376,f,Zip Code: 23523,,Virginia,VA,Single Family Residential,6,220000.0,0.0,-0.16981132075471694,242700.0,0.07866666666666665,0.09373591707976558,133.64293085655314,0.03512524627075697,0.18378353672471315,134.04827703555063,-0.03072784297371078,0.13502559807671832,23.0,0.09523809523809534,0.3529411764705883,6.0,0.0,-0.33333333333333337,26.0,0.13043478260869554,-0.0714285714285714,17.0,0.0,0.21428571428571416,,,,40.0,16.0,2.5,0.9804209403840712,-0.00945119747131895,-0.00972720356781398,0.3043478260869565,-0.028985507246376774,0.06905370843989772,,,,0.5,0.16666666666666669,-0.05555555555555558,"Virginia Beach, VA",47260,2022-01-09 14:29:56
243945,2021-07-01,2021-09-30,90,zip code,2,7833,f,Zip Code: 20110,,Virginia,VA,Single Family Residential,6,507500.0,-0.01837524177949712,0.10326086956521728,495000.0,-0.009801960392078368,0.08791208791208782,213.34817222881185,-0.0029549041061517345,0.09914702475892921,211.49674620390456,-0.004228434109722178,0.10270872087686712,108.0,-0.05263157894736848,-0.0847457627118644,29.0,-0.09375,-0.3695652173913043,105.0,-0.09482758620689656,-0.09482758620689656,46.0,0.2777777777777777,0.5862068965517242,,,,20.5,9.0,-10.5,1.009921818385778,-0.013439012136500672,0.005863539685915464,0.5185185185185185,-0.12183235867446394,0.06936597614563711,,,,0.5862068965517241,0.2112068965517241,0.0427286356821589,"Washington, DC",47894,2022-01-09 14:29:56
255993,2021-07-01,2021-09-30,90,zip code,2,9226,f,Zip Code: 23238,,Virginia,VA,Single Family Residential,6,432500.0,-0.03351955307262566,0.20138888888888884,439950.0,0.04750000000000009,0.18905405405405395,178.98075330738135,0.006545998238810968,0.16292005601075776,175.1923076923077,0.019554142310911345,0.08740053050397865,76.0,0.0,-0.05000000000000005,23.0,-0.3030303030303029,-0.11538461538461542,87.0,-0.022471910112359602,0.04819277108433728,12.0,-0.33333333333333337,-0.5714285714285714,,,,10.0,-1.0,-3.5,1.043983646059975,-0.01626286213175021,0.04135320449845215,0.5921052631578946,-0.07894736842105265,0.1046052631578947,,,,0.5217391304347826,-0.23583662714097495,-0.32441471571906355,"Richmond, VA",40060,2022-01-09 14:29:56
272132,2021-07-01,2021-09-30,90,zip code,2,8967,f,Zip Code: 22663,,Virginia,VA,Single Family Residential,6,558000.0,0.01454545454545464,0.13082970069491304,586500.0,0.0663636363636364,0.11714285714285723,192.63845889232888,0.0379126663956384,0.1064923395377504,190.3844341641293,0.006270102518593612,0.11318235751588612,21.0,-0.27586206896551724,-0.2222222222222222,5.0,1.5,1.5,16.0,-0.3043478260869565,0.4545454545454546,9.0,-0.4,0.0,,,,35.0,-0.5,-51.5,0.9913507274740992,-0.005829212720029342,0.00810059761860582,0.14285714285714285,-0.09852216748768473,0.1058201058201058,,,,0.4,0.4,0.4,"Washington, DC",47894,2022-01-09 14:29:56
275686,2021-07-01,2021-09-30,90,zip code,2,8753,f,Zip Code: 22079,,Virginia,VA,Single Family Residential,6,760000.0,0.013333333333333421,0.08571428571428563,749900.0,-0.019353995030730986,0.0797703958030207,243.3628318584071,0.0895980812151569,0.15769211539423011,244.93847166658227,-0.006689770247721771,0.12251473501723953,59.0,-0.078125,-0.2531645569620253,14.0,-0.4166666666666666,-0.17647058823529416,61.0,-0.1159420289855072,-0.016129032258064502,28.0,-0.125,0.2727272727272727,,,,15.0,2.5,-12.5,1.0042269246115576,-0.010619840257999114,0.007059895975982111,0.4915254237288136,-0.07097457627118642,0.12443681613387685,,,,0.07142857142857144,-0.511904761904762,-0.39915966386554624,"Washington, DC",47894,2022-01-09 14:29:56
289018,2021-07-01,2021-09-30,90,zip code,2,7834,f,Zip Code: 20111,,Virginia,VA,Single Family Residential,6,525000.0,0.004784688995215225,0.16666666666666674,499999.5,-0.0291252992724258,0.07642518837459633,209.16387781496246,-0.02111305182597567,0.10636682738966984,220.01557632398757,0.04066698878296116,0.13570199726005105,95.0,-0.06862745098039214,0.04395604395604402,27.0,-0.12903225806451613,-0.09999999999999996,108.0,0.02857142857142847,0.2,50.0,0.11111111111111116,0.7241379310344827,,,,27.0,8.0,-5.0,1.0181696348755047,-0.007209416371786845,0.009056230052995272,0.5684210526315789,-0.07863777089783286,0.15083863504916134,,,,0.2962962962962963,-0.09080047789725207,-0.23703703703703705,"Washington, DC",47894,2022-01-09 14:29:56
295158,2021-07-01,2021-09-30,90,zip code,2,9406,f,Zip Code: 23692,,Virginia,VA,Single Family Residential,6,410000.0,-0.012048192771084376,0.07189542483660127,419500.0,0.028186274509803818,0.11572116279688285,175.4385964912281,-0.014874141876430103,0.12006653590332104,174.71068625574048,0.02031244835842116,0.08724257060513428,67.0,-0.1298701298701299,0.015151515151515138,9.0,-0.5909090909090908,-0.5,62.0,-0.12676056338028174,-0.03125,27.0,0.42105263157894735,-0.09999999999999996,,,,18.0,0.0,-6.5,1.0050269014154862,-0.001876589333483336,0.009275165260824392,0.4477611940298508,-0.05873231246365568,0.11442786069651745,,,,0.1111111111111111,-0.20707070707070707,-0.2222222222222222,"Virginia Beach, VA",47260,2022-01-09 14:29:56
319022,2021-07-01,2021-09-30,90,zip code,2,9217,f,Zip Code: 23229,,Virginia,VA,Single Family Residential,6,363750.0,-0.030000000000000027,0.05434782608695654,356000.0,0.017142857142857126,0.11267385528988895,210.19483908070458,-0.00929405934174099,0.16831028848652885,201.3177159590044,-0.012292823327435752,0.14102445021839727,136.0,-0.0993377483443708,-0.048951048951048966,41.0,-0.14583333333333334,-0.10869565217391307,136.0,-0.03546099290780147,-0.062068965517241385,31.0,0.03333333333333344,0.19230769230769226,,,,8.0,0.0,0.0,1.0513832633269362,-0.013787388679715074,0.03559872091813254,0.6911764705882353,-0.050545383716400494,0.08278486219662685,,,,0.6097560975609756,0.0472560975609756,-0.042417815482502674,"Richmond, VA",40060,2022-01-09 14:29:56
